,,fpca,mafr,reg-fpca,reg-mafr,fpca,mafr,reg-fpca,reg-mafr,fpca,mafr,reg-fpca,reg-mafr
,forecast,ln,ln,ln,ln,hn,hn,hn,hn,sn,sn,sn,sn
0,1,"(5.81, 0.001)","(5.81, 0.001)","(5.795, 0.0)","(5.795, 0.0)","(5.876, 0.01)","(5.876, 0.01)","(5.806, 0.001)","(5.806, 0.001)","(5.987, 0.093)","(6.009, 0.136)","(6.019, 0.163)","(6.005, 0.121)"
1,2,"(5.805, 0.001)","(5.805, 0.001)","(5.79, 0.0)","(5.79, 0.0)","(5.874, 0.011)","(5.874, 0.011)","(5.801, 0.001)","(5.801, 0.001)","(6.027, 0.189)","(6.067, 0.254)","(6.088, 0.315)","(6.042, 0.18)"
2,3,"(5.809, 0.001)","(5.809, 0.001)","(5.793, 0.0)","(5.793, 0.0)","(5.88, 0.011)","(5.88, 0.011)","(5.805, 0.002)","(5.805, 0.002)","(6.063, 0.269)","(6.111, 0.331)","(6.137, 0.407)","(6.082, 0.253)"
3,4,"(5.813, 0.001)","(5.813, 0.001)","(5.796, 0.0)","(5.796, 0.0)","(5.887, 0.012)","(5.887, 0.011)","(5.808, 0.002)","(5.808, 0.002)","(6.094, 0.307)","(6.145, 0.364)","(6.174, 0.45)","(6.113, 0.292)"
4,5,"(5.81, 0.002)","(5.81, 0.002)","(5.792, 0.0)","(5.792, 0.0)","(5.888, 0.012)","(5.888, 0.012)","(5.806, 0.002)","(5.806, 0.002)","(6.123, 0.328)","(6.176, 0.385)","(6.207, 0.477)","(6.143, 0.318)"
5,6,"(5.817, 0.002)","(5.817, 0.002)","(5.8, 0.001)","(5.8, 0.001)","(5.899, 0.013)","(5.899, 0.013)","(5.814, 0.003)","(5.814, 0.003)","(6.155, 0.342)","(6.212, 0.399)","(6.241, 0.495)","(6.18, 0.333)"
6,7,"(5.82, 0.002)","(5.82, 0.002)","(5.801, 0.001)","(5.801, 0.001)","(5.906, 0.014)","(5.905, 0.014)","(5.818, 0.003)","(5.818, 0.003)","(6.189, 0.351)","(6.246, 0.409)","(6.276, 0.507)","(6.212, 0.343)"
7,8,"(5.821, 0.002)","(5.821, 0.002)","(5.802, 0.001)","(5.802, 0.001)","(5.91, 0.014)","(5.909, 0.014)","(5.819, 0.004)","(5.819, 0.004)","(6.22, 0.36)","(6.277, 0.417)","(6.307, 0.517)","(6.236, 0.352)"
8,9,"(5.82, 0.002)","(5.82, 0.002)","(5.8, 0.001)","(5.8, 0.001)","(5.915, 0.015)","(5.914, 0.015)","(5.82, 0.005)","(5.82, 0.005)","(6.264, 0.373)","(6.323, 0.432)","(6.352, 0.533)","(6.277, 0.365)"
9,10,"(5.82, 0.002)","(5.82, 0.002)","(5.8, 0.001)","(5.8, 0.001)","(5.919, 0.015)","(5.918, 0.015)","(5.822, 0.006)","(5.822, 0.006)","(6.301, 0.383)","(6.362, 0.443)","(6.391, 0.546)","(6.314, 0.375)"
10,11,"(5.823, 0.002)","(5.823, 0.002)","(5.803, 0.001)","(5.803, 0.001)","(5.928, 0.016)","(5.927, 0.016)","(5.827, 0.007)","(5.827, 0.007)","(6.352, 0.392)","(6.412, 0.452)","(6.441, 0.555)","(6.358, 0.383)"
11,12,"(5.837, 0.002)","(5.837, 0.002)","(5.814, 0.002)","(5.814, 0.002)","(5.947, 0.017)","(5.946, 0.017)","(5.842, 0.008)","(5.842, 0.008)","(6.407, 0.4)","(6.467, 0.461)","(6.495, 0.564)","(6.41, 0.391)"
12,13,"(5.841, 0.003)","(5.841, 0.003)","(5.818, 0.002)","(5.818, 0.002)","(5.957, 0.018)","(5.956, 0.018)","(5.85, 0.01)","(5.85, 0.01)","(6.466, 0.411)","(6.526, 0.471)","(6.554, 0.575)","(6.461, 0.4)"
13,14,"(5.832, 0.003)","(5.832, 0.003)","(5.808, 0.002)","(5.808, 0.002)","(5.952, 0.018)","(5.951, 0.019)","(5.842, 0.011)","(5.842, 0.011)","(6.5, 0.416)","(6.56, 0.476)","(6.588, 0.58)","(6.49, 0.405)"
14,15,"(5.847, 0.003)","(5.847, 0.003)","(5.824, 0.003)","(5.824, 0.003)","(5.975, 0.02)","(5.974, 0.02)","(5.863, 0.013)","(5.862, 0.013)","(6.576, 0.425)","(6.634, 0.484)","(6.663, 0.587)","(6.557, 0.414)"
15,16,"(5.846, 0.004)","(5.846, 0.004)","(5.822, 0.003)","(5.822, 0.003)","(5.98, 0.021)","(5.979, 0.021)","(5.865, 0.014)","(5.865, 0.014)","(6.625, 0.433)","(6.683, 0.491)","(6.712, 0.594)","(6.601, 0.42)"
16,17,"(5.861, 0.004)","(5.861, 0.004)","(5.836, 0.004)","(5.836, 0.004)","(6.002, 0.022)","(6.002, 0.023)","(5.885, 0.016)","(5.884, 0.016)","(6.704, 0.44)","(6.76, 0.498)","(6.79, 0.6)","(6.672, 0.427)"
17,18,"(5.87, 0.005)","(5.87, 0.005)","(5.845, 0.004)","(5.845, 0.004)","(6.019, 0.024)","(6.018, 0.024)","(5.899, 0.019)","(5.899, 0.018)","(6.78, 0.447)","(6.834, 0.504)","(6.865, 0.605)","(6.738, 0.434)"
18,19,"(5.885, 0.005)","(5.885, 0.005)","(5.858, 0.005)","(5.858, 0.005)","(6.042, 0.026)","(6.041, 0.026)","(5.918, 0.021)","(5.918, 0.021)","(6.856, 0.453)","(6.907, 0.509)","(6.939, 0.609)","(6.804, 0.44)"
19,20,"(5.892, 0.006)","(5.892, 0.006)","(5.866, 0.006)","(5.866, 0.006)","(6.058, 0.027)","(6.057, 0.027)","(5.932, 0.023)","(5.932, 0.023)","(6.929, 0.458)","(6.979, 0.513)","(7.011, 0.612)","(6.871, 0.445)"
20,21,"(5.899, 0.007)","(5.899, 0.007)","(5.872, 0.007)","(5.872, 0.006)","(6.075, 0.03)","(6.074, 0.03)","(5.946, 0.026)","(5.946, 0.026)","(7.013, 0.465)","(7.061, 0.519)","(7.094, 0.616)","(6.945, 0.452)"
21,22,"(5.914, 0.007)","(5.913, 0.007)","(5.886, 0.007)","(5.886, 0.007)","(6.098, 0.031)","(6.097, 0.032)","(5.967, 0.028)","(5.967, 0.028)","(7.093, 0.468)","(7.137, 0.521)","(7.172, 0.617)","(7.014, 0.456)"
22,23,"(5.921, 0.008)","(5.921, 0.008)","(5.894, 0.008)","(5.894, 0.008)","(6.117, 0.034)","(6.116, 0.034)","(5.984, 0.031)","(5.984, 0.031)","(7.18, 0.473)","(7.222, 0.525)","(7.258, 0.619)","(7.091, 0.461)"
23,24,"(5.928, 0.009)","(5.928, 0.009)","(5.9, 0.009)","(5.9, 0.009)","(6.135, 0.036)","(6.134, 0.037)","(5.999, 0.034)","(5.999, 0.033)","(7.261, 0.477)","(7.301, 0.528)","(7.338, 0.621)","(7.164, 0.466)"
24,25,"(5.947, 0.01)","(5.947, 0.01)","(5.919, 0.01)","(5.919, 0.01)","(6.166, 0.039)","(6.164, 0.039)","(6.028, 0.036)","(6.028, 0.036)","(7.357, 0.48)","(7.392, 0.529)","(7.432, 0.62)","(7.248, 0.47)"
