,,fpca,mafr,reg-fpca,reg-mafr,fpca,mafr,reg-fpca,reg-mafr,fpca,mafr,reg-fpca,reg-mafr
,forecast,ln,ln,ln,ln,hn,hn,hn,hn,sn,sn,sn,sn
0,1,"(0.126, 0.041)","(0.126, 0.041)","(0.104, 0.043)","(0.104, 0.043)","(0.234, 0.051)","(0.234, 0.051)","(0.116, 0.04)","(0.115, 0.04)","(0.322, 0.073)","(0.323, 0.073)","(0.239, 0.041)","(0.237, 0.041)"
1,2,"(0.131, 0.041)","(0.131, 0.041)","(0.108, 0.043)","(0.107, 0.043)","(0.239, 0.054)","(0.239, 0.054)","(0.12, 0.039)","(0.119, 0.039)","(0.328, 0.075)","(0.329, 0.076)","(0.244, 0.042)","(0.242, 0.042)"
2,3,"(0.134, 0.043)","(0.134, 0.043)","(0.11, 0.044)","(0.109, 0.045)","(0.247, 0.056)","(0.247, 0.056)","(0.123, 0.041)","(0.122, 0.041)","(0.337, 0.078)","(0.337, 0.078)","(0.251, 0.045)","(0.249, 0.045)"
3,4,"(0.138, 0.043)","(0.138, 0.043)","(0.113, 0.045)","(0.113, 0.045)","(0.252, 0.059)","(0.251, 0.059)","(0.126, 0.042)","(0.126, 0.042)","(0.342, 0.081)","(0.343, 0.082)","(0.255, 0.047)","(0.254, 0.047)"
4,5,"(0.142, 0.046)","(0.142, 0.046)","(0.117, 0.046)","(0.116, 0.046)","(0.26, 0.063)","(0.259, 0.063)","(0.13, 0.044)","(0.129, 0.043)","(0.351, 0.086)","(0.352, 0.086)","(0.263, 0.051)","(0.261, 0.05)"
5,6,"(0.147, 0.044)","(0.147, 0.044)","(0.121, 0.045)","(0.12, 0.045)","(0.266, 0.065)","(0.265, 0.065)","(0.135, 0.042)","(0.134, 0.042)","(0.357, 0.087)","(0.358, 0.087)","(0.269, 0.052)","(0.267, 0.051)"
6,7,"(0.152, 0.046)","(0.152, 0.046)","(0.124, 0.047)","(0.123, 0.047)","(0.273, 0.069)","(0.272, 0.068)","(0.139, 0.045)","(0.139, 0.044)","(0.364, 0.091)","(0.365, 0.092)","(0.275, 0.054)","(0.273, 0.053)"
7,8,"(0.158, 0.047)","(0.158, 0.047)","(0.13, 0.047)","(0.129, 0.047)","(0.28, 0.07)","(0.279, 0.07)","(0.145, 0.045)","(0.144, 0.045)","(0.373, 0.094)","(0.373, 0.095)","(0.282, 0.057)","(0.281, 0.057)"
8,9,"(0.161, 0.047)","(0.161, 0.048)","(0.133, 0.048)","(0.132, 0.048)","(0.286, 0.074)","(0.285, 0.074)","(0.148, 0.046)","(0.148, 0.046)","(0.378, 0.097)","(0.379, 0.098)","(0.288, 0.059)","(0.286, 0.058)"
9,10,"(0.166, 0.049)","(0.166, 0.049)","(0.138, 0.049)","(0.137, 0.049)","(0.293, 0.078)","(0.292, 0.078)","(0.153, 0.047)","(0.153, 0.047)","(0.387, 0.101)","(0.388, 0.102)","(0.296, 0.063)","(0.294, 0.062)"
10,11,"(0.173, 0.048)","(0.173, 0.048)","(0.145, 0.047)","(0.143, 0.047)","(0.3, 0.08)","(0.299, 0.08)","(0.16, 0.046)","(0.159, 0.046)","(0.395, 0.103)","(0.396, 0.104)","(0.304, 0.065)","(0.302, 0.064)"
11,12,"(0.178, 0.051)","(0.177, 0.051)","(0.149, 0.049)","(0.148, 0.049)","(0.307, 0.082)","(0.306, 0.082)","(0.165, 0.048)","(0.164, 0.048)","(0.402, 0.106)","(0.403, 0.106)","(0.311, 0.068)","(0.309, 0.067)"
12,13,"(0.184, 0.051)","(0.183, 0.051)","(0.155, 0.049)","(0.153, 0.049)","(0.313, 0.087)","(0.312, 0.087)","(0.17, 0.049)","(0.17, 0.049)","(0.409, 0.11)","(0.41, 0.11)","(0.317, 0.072)","(0.315, 0.071)"
13,14,"(0.192, 0.053)","(0.191, 0.053)","(0.164, 0.051)","(0.161, 0.051)","(0.323, 0.089)","(0.321, 0.089)","(0.179, 0.051)","(0.178, 0.051)","(0.419, 0.113)","(0.42, 0.113)","(0.326, 0.075)","(0.324, 0.073)"
14,15,"(0.196, 0.055)","(0.196, 0.055)","(0.168, 0.053)","(0.165, 0.053)","(0.328, 0.093)","(0.327, 0.093)","(0.183, 0.052)","(0.182, 0.052)","(0.425, 0.117)","(0.426, 0.117)","(0.333, 0.078)","(0.331, 0.077)"
15,16,"(0.203, 0.056)","(0.203, 0.056)","(0.175, 0.054)","(0.172, 0.054)","(0.336, 0.095)","(0.335, 0.095)","(0.19, 0.054)","(0.19, 0.054)","(0.435, 0.12)","(0.435, 0.121)","(0.342, 0.08)","(0.34, 0.078)"
16,17,"(0.209, 0.056)","(0.209, 0.056)","(0.181, 0.054)","(0.178, 0.053)","(0.344, 0.098)","(0.342, 0.098)","(0.196, 0.054)","(0.196, 0.054)","(0.442, 0.123)","(0.443, 0.123)","(0.35, 0.083)","(0.348, 0.082)"
17,18,"(0.218, 0.058)","(0.217, 0.058)","(0.19, 0.056)","(0.187, 0.055)","(0.352, 0.099)","(0.35, 0.099)","(0.204, 0.056)","(0.204, 0.056)","(0.451, 0.125)","(0.452, 0.125)","(0.358, 0.086)","(0.357, 0.084)"
18,19,"(0.225, 0.06)","(0.224, 0.06)","(0.197, 0.058)","(0.193, 0.058)","(0.36, 0.104)","(0.358, 0.104)","(0.211, 0.058)","(0.211, 0.059)","(0.46, 0.13)","(0.461, 0.13)","(0.367, 0.09)","(0.365, 0.089)"
19,20,"(0.23, 0.063)","(0.229, 0.063)","(0.202, 0.06)","(0.199, 0.059)","(0.366, 0.108)","(0.364, 0.108)","(0.217, 0.059)","(0.217, 0.06)","(0.467, 0.135)","(0.467, 0.135)","(0.374, 0.096)","(0.372, 0.094)"
20,21,"(0.238, 0.063)","(0.237, 0.063)","(0.211, 0.06)","(0.207, 0.06)","(0.373, 0.108)","(0.371, 0.108)","(0.225, 0.06)","(0.225, 0.061)","(0.475, 0.136)","(0.476, 0.136)","(0.383, 0.097)","(0.381, 0.095)"
21,22,"(0.245, 0.067)","(0.244, 0.067)","(0.218, 0.064)","(0.214, 0.063)","(0.381, 0.112)","(0.379, 0.112)","(0.233, 0.064)","(0.233, 0.064)","(0.483, 0.14)","(0.484, 0.14)","(0.391, 0.101)","(0.389, 0.099)"
22,23,"(0.253, 0.068)","(0.252, 0.068)","(0.227, 0.065)","(0.223, 0.064)","(0.389, 0.116)","(0.387, 0.116)","(0.241, 0.065)","(0.241, 0.066)","(0.492, 0.145)","(0.493, 0.144)","(0.4, 0.105)","(0.398, 0.104)"
23,24,"(0.261, 0.071)","(0.26, 0.071)","(0.235, 0.069)","(0.23, 0.066)","(0.397, 0.118)","(0.394, 0.118)","(0.249, 0.068)","(0.249, 0.069)","(0.5, 0.148)","(0.501, 0.147)","(0.408, 0.109)","(0.406, 0.108)"
24,25,"(0.271, 0.071)","(0.27, 0.071)","(0.246, 0.068)","(0.241, 0.067)","(0.407, 0.119)","(0.404, 0.119)","(0.259, 0.068)","(0.26, 0.069)","(0.509, 0.149)","(0.51, 0.148)","(0.418, 0.11)","(0.416, 0.109)"
